Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jogo-de-lencol-queen-roma-3-pcs-percal-300-fios-estampado-rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-queen-roma-3-pcs-percal-300-fios-estampado-rosas-689b4a4a4fe89-large.png?v=1777595745,2,"",,,,,,,,
jogo-de-lencol-solteiro-2-pecas-valencia-percal-300-fios-hotelaria-nude,Jogo de Lençol Solteiro 2 Peças Valencia Percal 300 Fios Hotelaria - Nude,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p>Bem-vindo ao inigualável conforto excepcional da nossa linha Hotelaria Valencia. Experimente a suavidade sublime dos nossos produtos da linha hotelaria confeccionados em percal 300 fios, cuidadosamente projetados para proporcionar uma sensação de maciez inigualável. A qualidade excepcional dos materiais utilizados nos lençóis são fabricados em tecido Percal de 300 fios composto com 100% Poliéster de ótima qualidade!</p>
<p>Disponivel em 5 lindas cores! Corre aproveitar..</p>
<p><br></p>
<p>PRODUTO COMPOSTO POR:</p>
<p>Casal -</p>
<p>1 Lençol com elástico 88 x 1,88 x 30 cm</p>
<p>1 Fronha 50 x 70 cm</p>
<p><br></p>
<p>COMPOSIÇÃO DO PRODUTO:</p>
<p>Percal 400 Fios</p>
<p>100% Poliéster</p>
<p> </p>
<p>Sobre a Casa Hoenning:</p>
<p>Somos especializados em enxovais para sua casa.</p>
<p>Produtos que proporcionam sofisticação, conforto e bem-estar à um preço justo.</p>
<p>Compra segura e entrega rápida.</p>
<p>Garantia de 30 dias.</p>
<p> </p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595748649_867,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595748649/773,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-solteiro-2-pecas-valencia-percal-300-fios-hotelaria-nude-68a4b39fb983c-large.png?v=1777595752,1,"",false,,,,kg,,,active
jogo-de-lencol-solteiro-2-pecas-valencia-percal-300-fios-hotelaria-nude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-solteiro-2-pecas-valencia-percal-300-fios-hotelaria-nude-68a4b39facfd7-large.png?v=1777595752,2,"",,,,,,,,
jogo-de-lencol-casal-3-pecas-valencia-percal-300-fios-hotelaria-beige,Jogo de Lençol Casal 3 Peças Valencia Percal 300 Fios Hotelaria - Beige,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p>Bem-vindo ao inigualável conforto excepcional da nossa linha Hotelaria Valencia. Experimente a suavidade sublime dos nossos produtos da linha hotelaria confeccionados em percal 300 fios, cuidadosamente projetados para proporcionar uma sensação de maciez inigualável. A qualidade excepcional dos materiais utilizados nos lençóis são fabricados em tecido Percal de 300 fios composto com 100% Poliéster de ótima qualidade!</p>
<p>Disponivel em 5 lindas cores! Corre aproveitar.</p>
<p><br></p>
<p>PRODUTO COMPOSTO POR:</p>
<p>Casal -</p>
<p>1Lençol com elástico 1,38 x 1,88 x 30 cm</p>
<p>2 Fronha 50 x 70 cm</p>
<p><br></p>
<p>COMPOSIÇÃO DO PRODUTO:</p>
<p>Percal 400 Fios</p>
<p>100% Poliéster</p>
<p> </p>
<p>Sobre a Casa Hoenning:</p>
<p>Somos especializados em enxovais para sua casa.</p>
<p>Produtos que proporcionam sofisticação, conforto e bem-estar à um preço justo.</p>
<p>Compra segura e entrega rápida.</p>
<p>Garantia de 30 dias.</p>
<p> </p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595755925_844,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595755925/288,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-3-pecas-valencia-percal-300-fios-hotelaria-beige-68a4b3986b800-large.png?v=1777595759,1,"",false,,,,kg,,,active
jogo-de-lencol-casal-3-pecas-valencia-percal-300-fios-hotelaria-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-3-pecas-valencia-percal-300-fios-hotelaria-beige-68a4b3974668c-large.png?v=1777595759,2,"",,,,,,,,
jogo-de-lencol-solteiro-roma-2-pc-percal-300-fios-estampado-rosas,Jogo de Lençol Solteiro Roma 2 Pç Percal 300 Fios Estampado - Rosas,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Jogo de Cama Roma em 5 Estampas </span></strong></p> <p>Renove seu quarto com conforto e estilo! Este jogo de cama está disponível em <strong>5 lindas estampas</strong>, oferecendo praticidade e um toque decorativo ao ambiente. Confeccionado com tecido de toque macio e agradável, é ideal para quem busca bem-estar nas horas de descanso.<br><br>Produto composto por:<br><strong>Solteiro   2 peças</strong><br>1 Lençol com elástico: 88x188x30 cm<br>1 Fronha: 50x70 cm</p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Composição:<br></span>Percal 300 fios <br>100% Poliéster <br><br>(*TAMANHO DO PRODUTO ESTÁ DESCRITO NO TITULO DO ANÚNCIO*)<span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br><br></span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Tamanhos Disponíveis na linha Roma 2 e 3 Peças:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Solteiro   2 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 88x188x30 cm<br>1 Fronha: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Queen   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 158x198x35 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>King   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 193x203x40 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Destaques:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>5 estampas variadas <br>Tecido leve e confortável<br>Fácil de lavar e secar<br>Ótima opção para renovar o enxoval</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595762610_180,0.0,,0,deny,manual,39.00,99.90,true,true,,,,,1777595762610/586,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-solteiro-roma-2-pc-percal-300-fios-estampado-rosas-68a5ddb517f29-large.png?v=1777595765,1,"",false,,,,kg,,,active
jogo-de-lencol-solteiro-roma-2-pc-percal-300-fios-estampado-rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-solteiro-roma-2-pc-percal-300-fios-estampado-rosas-689b4a596845a-large.png?v=1777595765,2,"",,,,,,,,
jogo-de-lencol-casal-poa-3-pcs-percal-300-fios-estampado-poa-rose,Jogo de Lençol Casal Poá 3 Pçs Percal 300 Fios Estampado - Poá Rose,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Jogo de Cama Roma em 3 Cores</span></strong></p> <p>Renove seu quarto com conforto e estilo! Este jogo de cama está disponível em 3<strong> lindas cores</strong>, oferecendo praticidade e um toque decorativo ao ambiente. Confeccionado com tecido de toque macio e agradável, é ideal para quem busca bem-estar nas horas de descanso.<br><br>Produto composto por:<br><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Composição:<br></span>Percal 300 fios <br>100% Poliéster <br><br>(*TAMANHO DO PRODUTO ESTÁ DESCRITO NO TITULO DO ANÚNCIO*)<span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br><br></span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Tamanhos Disponíveis na linha Roma 2 e 3 Peças:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Solteiro   2 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 88x188x30 cm<br>1 Fronha: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Queen   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 158x198x35 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>King   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 193x203x40 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Destaques:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>3 cores variadas <br>Tecido leve e confortável<br>Fácil de lavar e secar<br>Ótima opção para renovar o enxoval</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595768869_32,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595768869/481,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-poa-3-pcs-percal-300-fios-estampado-poa-rose-689e180324476-large.png?v=1777595771,1,"",false,,,,kg,,,active
jogo-de-lencol-casal-poa-3-pcs-percal-300-fios-estampado-poa-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-poa-3-pcs-percal-300-fios-estampado-poa-rose-689e1803a6bd6-large.png?v=1777595771,2,"",,,,,,,,
jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-ros,Jogo de Lençol Casal Roma 3 Pçs Percal 300 Fios Estampado - Rós,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Jogo de Cama Roma em 5 Estampas </span></strong></p> <p>Renove seu quarto com conforto e estilo! Este jogo de cama está disponível em <strong>5 lindas estampas</strong>, oferecendo praticidade e um toque decorativo ao ambiente. Confeccionado com tecido de toque macio e agradável, é ideal para quem busca bem-estar nas horas de descanso.<br><br>Produto composto por:<br><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Composição:<br></span>Percal 300 fios <br>100% Poliéster <br><br>(*TAMANHO DO PRODUTO ESTÁ DESCRITO NO TITULO DO ANÚNCIO*)<span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br><br></span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Tamanhos Disponíveis na linha Roma 2 e 3 Peças:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Solteiro   2 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 88x188x30 cm<br>1 Fronha: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Queen   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 158x198x35 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>King   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 193x203x40 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Destaques:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>5 estampas variadas <br>Tecido leve e confortável<br>Fácil de lavar e secar<br>Ótima opção para renovar o enxoval</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595775468_51,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595775468/516,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-ros-68a5db624a267-large.png?v=1777595778,1,"",false,,,,kg,,,active
jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-ros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-ros-689b4a56ea930-large.png?v=1777595778,2,"",,,,,,,,
jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-olive,Jogo de Lençol Casal Roma 3 Pçs Percal 300 Fios Estampado - Olive,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Jogo de Cama Roma em 5 Estampas </span></strong></p> <p>Renove seu quarto com conforto e estilo! Este jogo de cama está disponível em <strong>5 lindas estampas</strong>, oferecendo praticidade e um toque decorativo ao ambiente. Confeccionado com tecido de toque macio e agradável, é ideal para quem busca bem-estar nas horas de descanso.<br><br>Produto composto por:<br><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Composição:<br></span>Percal 300 fios <br>100% Poliéster <br><br>(*TAMANHO DO PRODUTO ESTÁ DESCRITO NO TITULO DO ANÚNCIO*)<span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br><br></span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Tamanhos Disponíveis na linha Roma 2 e 3 Peças:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Solteiro   2 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 88x188x30 cm<br>1 Fronha: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 138x188x30 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Queen   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 158x198x35 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>King   3 peças</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>1 Lençol com elástico: 193x203x40 cm<br>2 Fronhas: 50x70 cm</span></p> <p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Destaques:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>5 estampas variadas <br>Tecido leve e confortável<br>Fácil de lavar e secar<br>Ótima opção para renovar o enxoval</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595782174_767,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595782174/142,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-olive-689b4a5939ed1-large.png?v=1777595785,1,"",false,,,,kg,,,active
jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-casal-roma-3-pcs-percal-300-fios-estampado-olive-689b4a59ee476-large.png?v=1777595785,2,"",,,,,,,,
jogo-de-lencol-solteiro-2-pecas-percal-300-fios-bordado-ingles-veneza-verde,Jogo de Lençol Solteiro 2 Peças Percal 300 Fios Bordado Inglês Veneza Verde,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p dir=""ltr"" style=""margin: 0pt 0px 8pt; font-size: 14px; line-height: 1.295;""><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">Como é versátil, o estilo básico possibilita muitas decorações. Pode casar com qualquer outro estilo, pois as peças lisas e neutras são coringas. Aposte em peças básicas e tenha muitas opções para decorar seu quarto. O jogo de cama Percal 300 Fios, possui Bordado Inglês que além de lindo é muito versátil,fabricado em 100% Poliéster com toque muito macio que garante aconchego para suas noites de sono. A versatilidade do lençol com elástico deixa seu dia dia muito mais fácil, colaborando na organização do seu quarto. </span></p> <p style=""margin: 0px; font-size: 14px;""><span> </span></p> <p dir=""ltr"" style=""margin: 0pt 0px 8pt; font-size: 14px; line-height: 1.295;""><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">Composto por:</span></p> <p><span style=""font-family: Calibri, sans-serif; font-size: 14.6667px; white-space: pre-wrap;"">1 Lençol com elástico 88 x 1,88 x 30 cm </span></p> <p dir=""ltr"" style=""margin: 0pt 0px 8pt; font-size: 14px; line-height: 1.295;""><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">1 Fronhas com Bordado Inglês 50 x 70 cm</span><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 10pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">Composição: </span><span style=""font-size: 10pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 10pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">Percal 300 fios</span><span style=""font-size: 10pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 10pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">100% Poliéster </span></p> <p style=""margin: 0px; font-size: 14px;""> </p> <p dir=""ltr"" style=""margin: 0pt 0px 8pt; font-size: 14px; line-height: 1.295;""><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;"">As fotos são ilustrativas, podendo haver variações de cor por diversos motivos como navegador, resolução de monitor, fabricação, partida do tecido, etc  </span><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""font-size: 11pt; font-family: Calibri, sans-serif; background-color: transparent; vertical-align: baseline; white-space: pre-wrap;""><br></span><span style=""background-color: transparent; font-size: 11pt; font-family: Calibri, sans-serif; vertical-align: baseline; white-space: pre-wrap;"">Tamanhos: Solteiro - Lençol com elástico 88 x 1,88 x 30 cm Fronha 50 x 70 cm <br>Casal - Lençol com elástico 1,38 x 1,88 x 30 cm Fronha 50 x 70 cm <br>Queen - Lençol com elástico 1,58 x 1,98 x 38 cm Fronha 50 x 70 cm <br>King - Lençol com elástico 1,93 x 1,98 x 38 cm Fronha 50 x 70 cm</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777595790974_592,0.0,,0,deny,manual,0.00,,true,true,,,,,1777595790974/183,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-veneza-2-pcs-solteiro-300-fios-percal-bordado-ingles-verde-693ad80bd9cab-large.jpg?v=1777595793,1,"",false,,,,kg,,,active
jogo-de-lencol-solteiro-2-pecas-percal-300-fios-bordado-ingles-veneza-verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-veneza-2-pcs-solteiro-300-fios-percal-bordado-ingles-verde-693ad80d536f3-large.jpg?v=1777595793,2,"",,,,,,,,
